param,true_param,perturbed_param,finite_diff,finite_diff_time,auto_diff,auto_diff_time
theta,3.141592653589793,3.394114478515012,-10309965.290212002,0.0038009630516171455,7234844.0,3.738095983862877e-05
theta,3.141592653589793,2.772731480709178,9726188.37049884,0.003973263781517744,-6233881.5,4.0416140109300613e-05
theta,3.141592653589793,2.7427095728494972,9451945.148946313,0.003999536391347647,-5900628.5,3.538699820637703e-05
theta,3.141592653589793,2.856691562072251,10575308.728904912,0.0037771263159811497,-7294822.5,3.447709605097771e-05
theta,3.141592653589793,3.304049635645767,-11527174.617553696,0.0035630292259156704,8923267.0,3.416696563363075e-05
theta,3.141592653589793,3.807485363019759,-7196871.105710803,0.004351439885795116,946308.125,3.390992060303688e-05
theta,3.141592653589793,2.223710140293299,5416978.129524401,0.004577187355607748,672065.5,3.396300598978996e-05
theta,3.141592653589793,3.6301988345814316,-8416600.444255076,0.004080211743712425,4369265.5,6.452621892094612e-05
theta,3.141592653589793,2.7726559748725377,9725472.437371358,0.0035362732596695423,-6162484.5,8.007185533642769e-05
theta,3.141592653589793,3.684706402365408,-8078589.448142871,0.00430543627589941,4640702.0,7.780129089951515e-05
theta,3.141592653589793,3.3888186529850053,-10375962.707301239,0.003721452783793211,7646715.0,3.393087536096573e-05
theta,3.141592653589793,4.159686419383385,-4810976.812319491,0.004111922346055508,-846328.5,6.623100489377975e-05
theta,3.141592653589793,3.817043679866931,-7117189.571087507,0.004358448553830385,2252925.0,3.7011224776506424e-05
theta,3.141592653589793,3.511973940579309,-9205451.570496088,0.0039405920542776585,6224658.0,6.91399909555912e-05
theta,3.141592653589793,3.110347582564123,15755141.013939954,0.003443004097789526,-13675033.0,6.621284410357475e-05
theta,3.141592653589793,3.2805982311628896,-11964179.09292496,0.003575284034013748,9751429.0,6.580166518688202e-05
theta,3.141592653589793,3.297080877629682,-11650199.789633496,0.0035755708813667297,8366522.5,6.523216143250465e-05
theta,3.141592653589793,2.5365553025080514,7848195.638682933,0.004264413844794035,-2865128.0,3.2916199415922165e-05
theta,3.141592653589793,2.9419341320303696,11662272.072404316,0.0036514177918434143,-8547395.0,3.384891897439957e-05
theta,3.141592653589793,2.168000576927532,5169194.697283715,0.004096560180187225,-526237.75,3.386521711945534e-05
theta,3.141592653589793,2.178350910511513,5228872.747877458,0.00446721725165844,2227481.0,3.4084077924489975e-05
theta,3.141592653589793,3.4442677825827346,-9784361.073383942,0.003851792309433222,7553980.0,3.386475145816803e-05
theta,3.141592653589793,3.0718917739520464,14114550.169424573,0.0032608951441943645,-12003088.0,6.60410150885582e-05
theta,3.141592653589793,3.8574210548905885,-6769161.423596362,0.004568877164274454,1372113.75,3.3285003155469894e-05
theta,3.141592653589793,3.7568072001711306,-7594441.688615514,0.0045714061707258224,3484510.25,3.339862450957298e-05
theta,3.141592653589793,2.294299248239803,5938304.804723049,0.004713532980531454,1486009.5,4.33092936873436e-05
theta,3.141592653589793,3.012199582846946,12824671.487222856,0.0037978850305080414,-10354476.0,6.527360528707504e-05
theta,3.141592653589793,2.5267916413765183,7765801.300183531,0.004648368805646896,-3016285.5,3.3466145396232605e-05
theta,3.141592653589793,2.42407831638287,7004769.437172306,0.0046613276936113834,-1678542.0,3.3639371395111084e-05
theta,3.141592653589793,3.6331369653955568,-8393596.774303313,0.004138066433370113,5539897.0,3.436487168073654e-05
theta,3.141592653589793,2.1847706650374907,5265582.898677916,0.004443570040166378,-188400.0,3.429967910051346e-05
theta,3.141592653589793,2.283293642697444,5871750.912028139,0.004699647892266512,-9439912.0,6.538769230246544e-05
theta,3.141592653589793,3.232515111040277,-13148496.625831582,0.003380324225872755,10298082.0,3.3766962587833405e-05
theta,3.141592653589793,3.9502992760906093,-6088099.643322794,0.004776495974510908,-7765831.0,3.369012847542763e-05
theta,3.141592653589793,3.60602154843018,-8565302.017582549,0.0041362447664141655,5602946.0,3.352714702486992e-05
theta,3.141592653589793,3.441951863880598,-9801408.277607672,0.0035045980475842953,7577174.0,3.3482909202575684e-05
theta,3.141592653589793,3.541595627984395,-8982811.32893618,0.003991204779595137,5808956.0,3.3838674426078796e-05
theta,3.141592653589793,3.6898591026776613,-8039280.002146553,0.0039445157162845135,4304622.5,3.338512033224106e-05
