itr,time,loss,geodesic,theta,phi,gamma,bx,by,bz
21,0.025348580034915358,21941772288.0,41.6114387512207,3.2279539108276367,0.014275263994932175,1.4444080591201782,182.0937957763672,175.9363555908203,155.93344116210938
22,0.02318433701293543,21873647616.0,37.551204681396484,3.225909471511841,0.018746687099337578,1.4467381238937378,182.75216674804688,177.279296875,159.4585723876953
23,0.02563478599768132,21951518720.0,32.59082794189453,3.2195475101470947,0.026251835748553276,1.4550466537475586,182.898681640625,178.1786651611328,162.80552673339844
24,0.022580835968255997,21872750592.0,27.74758529663086,3.2113115787506104,0.03526052460074425,1.4679741859436035,182.55584716796875,178.86691284179688,165.98361206054688
25,0.023775518988259137,21889564672.0,24.44870376586914,3.2010183334350586,0.043533675372600555,1.485986351966858,181.68701171875,179.13064575195312,168.70648193359375
26,0.024591727007646114,21973864448.0,22.19620704650879,3.1899468898773193,0.04862944781780243,1.5069401264190674,180.44166564941406,179.31687927246094,170.89535522460938
27,0.023869207012467086,21853306880.0,19.649246215820312,3.177250862121582,0.04978238418698311,1.531020998954773,179.38272094726562,179.50547790527344,172.48878479003906
28,0.025910852011293173,21866893312.0,18.085786819458008,3.168332576751709,0.04657425731420517,1.5499194860458374,178.49493408203125,178.37586975097656,173.42416381835938
29,0.023026678012683988,22017452032.0,15.73120403289795,3.157864809036255,0.03718878701329231,1.56941819190979,177.9808807373047,177.71279907226562,173.6829833984375
30,0.026484555972274393,21865984000.0,13.33304214477539,3.1466827392578125,0.02344636805355549,1.5859577655792236,177.8415069580078,177.84783935546875,173.2961883544922
31,0.024923020973801613,21927845888.0,11.983255386352539,3.136399507522583,0.006405854597687721,1.5983989238739014,178.2994384765625,178.7986297607422,172.4318389892578
32,0.023954810050781816,21962110976.0,12.00948715209961,3.1279399394989014,-0.011182917281985283,1.6062098741531372,179.08975219726562,180.19992065429688,171.27362060546875
33,0.025760317977983505,21834010624.0,12.833929061889648,3.1218554973602295,-0.029626118019223213,1.6093329191207886,180.0310821533203,181.68968200683594,169.9360809326172
34,0.02317725302418694,21798486016.0,14.495086669921875,3.1171505451202393,-0.04482344537973404,1.6085002422332764,180.9465789794922,182.85289001464844,168.657470703125
35,0.026318037998862565,21873858560.0,16.164291381835938,3.113396406173706,-0.054600752890110016,1.605482816696167,181.7754364013672,183.44674682617188,167.50161743164062
36,0.025246138975489885,21824544768.0,16.3778018951416,3.1140058040618896,-0.059182241559028625,1.6002857685089111,182.4437255859375,183.16847229003906,166.5622100830078
37,0.023492989013902843,21931046912.0,15.364742279052734,3.112985134124756,-0.05544837564229965,1.5937217473983765,182.64324951171875,182.18682861328125,165.9048309326172
38,0.025629318959545344,21934170112.0,13.011853218078613,3.114600896835327,-0.04547721520066261,1.5866256952285767,182.5177459716797,180.84910583496094,165.56649780273438
39,0.022899423027411103,21834674176.0,9.567216873168945,3.1200335025787354,-0.03081548772752285,1.5796620845794678,181.9961700439453,179.8110809326172,165.5000762939453
40,0.026538281003013253,21796579328.0,5.44862174987793,3.128493070602417,-0.01405605673789978,1.571745753288269,181.046875,178.96702575683594,165.59942626953125
41,0.025701007980387658,21827584000.0,1.9792349338531494,3.138068914413452,0.00314511195756495,1.5640673637390137,179.9431915283203,178.66636657714844,165.7708282470703
42,0.02327613899251446,21769220096.0,5.404580593109131,3.149595022201538,0.018801633268594742,1.558394432067871,178.97491455078125,179.06239318847656,165.9190216064453
43,0.025827548000961542,21752485888.0,8.90969181060791,3.1596124172210693,0.03119121864438057,1.5546913146972656,178.3061065673828,179.64462280273438,166.0121612548828
44,0.022952497994992882,21996498944.0,11.27092170715332,3.16621732711792,0.03878848999738693,1.5531166791915894,177.9153289794922,180.036376953125,166.02413940429688
45,0.026364848017692566,21848223744.0,11.557929992675781,3.168628215789795,0.040304332971572876,1.555233359336853,178.1446533203125,180.20957946777344,165.9601287841797
46,0.025296891981270164,21900779520.0,10.743138313293457,3.1680328845977783,0.039193298667669296,1.559017539024353,178.6809539794922,180.12281799316406,165.80307006835938
47,0.023691788024734706,21936672768.0,8.816837310791016,3.163574695587158,0.03374791890382767,1.5631903409957886,179.5113067626953,179.68931579589844,165.53273010253906
48,0.025599236018024385,21850820608.0,7.060635566711426,3.157353401184082,0.02467675507068634,1.5668377876281738,180.301513671875,179.16493225097656,165.24766540527344
49,0.023460906988475472,21835515904.0,4.654010772705078,3.149609088897705,0.012123959138989449,1.5699212551116943,180.78099060058594,178.9407501220703,165.02297973632812
50,0.025990722991991788,21772374016.0,1.9674792289733887,3.142779588699341,-0.0008393139578402042,1.5722025632858276,180.87918090820312,179.1423797607422,164.84011840820312
51,0.024654330976773053,21805084672.0,4.1031365394592285,3.136983633041382,-0.013312692753970623,1.5742956399917603,180.67471313476562,179.72817993164062,164.86326599121094
52,0.023966643027961254,21913700352.0,5.4001264572143555,3.133612871170044,-0.020931556820869446,1.57535982131958,180.2196044921875,180.5126495361328,165.07415771484375
53,0.02601739700185135,21948084224.0,6.045200347900391,3.1312270164489746,-0.023264983668923378,1.577133059501648,179.7991485595703,181.0341796875,165.49700927734375
54,0.02308671298669651,21879123968.0,5.623254776000977,3.1304075717926025,-0.020141055807471275,1.577744722366333,179.48776245117188,181.05462646484375,166.10252380371094
55,0.026229523995425552,21853523968.0,4.69086217880249,3.130868911743164,-0.01429701317101717,1.5776506662368774,179.37118530273438,180.68142700195312,166.76856994628906
56,0.024918212031479925,21961363456.0,3.5388989448547363,3.132901191711426,-0.0063206967897713184,1.5757722854614258,179.57321166992188,180.12399291992188,167.35614013671875
57,0.0239991300040856,21798068224.0,2.476289749145508,3.136781692504883,0.0014660784509032965,1.573027491569519,179.96156311035156,179.70965576171875,167.7011260986328
58,0.025723017985001206,21866651648.0,2.9188199043273926,3.142155885696411,0.008503492921590805,1.5702005624771118,180.37185668945312,179.6846466064453,167.69390869140625
59,0.022676762018818408,21966993408.0,3.8672804832458496,3.14729642868042,0.012212086468935013,1.567041277885437,180.53201293945312,179.90667724609375,167.46546936035156
60,0.02636466099647805,21878716416.0,4.125749588012695,3.1509742736816406,0.012792282737791538,1.5641717910766602,180.4095458984375,180.1850128173828,167.0111083984375
61,0.02582750399596989,21895655424.0,3.763712167739868,3.1523351669311523,0.011022686026990414,1.562355399131775,180.10064697265625,180.29588317871094,166.48904418945312
62,0.023302013985812664,21958414336.0,3.213026762008667,3.150799512863159,0.007299674209207296,1.562452793121338,179.7071990966797,180.09547424316406,165.95947265625
63,0.025917530991137028,21812154368.0,2.610584259033203,3.1461644172668457,0.0025924649089574814,1.5648324489593506,179.32835388183594,179.5825653076172,165.5000762939453
64,0.02317786298226565,21886642176.0,2.130610227584839,3.1419429779052734,-0.0016624657437205315,1.568386435508728,179.2222137451172,179.21778869628906,165.168701171875
65,0.027163620048668236,21793224704.0,2.404968023300171,3.139613628387451,-0.004150192718952894,1.571951985359192,179.4302215576172,179.26966857910156,165.0200653076172
66,0.023880925960838795,21849575424.0,2.3950905799865723,3.1394362449645996,-0.0050648353062570095,1.574722170829773,179.83570861816406,179.71409606933594,164.99365234375
67,0.023877188039477915,21894266880.0,1.990277886390686,3.1415200233459473,-0.004305914975702763,1.576336145401001,180.2860870361328,180.2875518798828,165.16148376464844
68,0.025567021977622062,22013351936.0,1.7508456707000732,3.1432788372039795,-0.002690788358449936,1.5765925645828247,180.53189086914062,180.66729736328125,165.48670959472656
69,0.02332370897056535,21803622400.0,1.3075473308563232,3.1429903507232666,-0.0018371075857430696,1.5754863023757935,180.52142333984375,180.51649475097656,165.93136596679688
70,0.026576382049825042,21898240000.0,0.6514450311660767,3.1419243812561035,-0.0009574720752425492,1.5734511613845825,180.25949096679688,180.051513671875,166.4041290283203
